,Laser Power [W],Scan Speed [mm/s],Layer Thickness [Microm.],Hatch Distance [mm],Laser Energy Density E [J/mm^3],Relative Density [%]
906,375.0,1375.0,60.0,0.16,0.028409090909090908,97.9
907,375.0,800.0,90.0,0.16,0.032552083333333336,97.2
908,375.0,1550.0,120.0,0.08,0.025201612903225805,96.9
909,375.0,775.0,120.0,0.12,0.033602150537634407,96.8
910,375.0,775.0,120.0,0.14,0.028801843317972347,96.8
911,375.0,2175.0,60.0,0.1,0.028735632183908046,97.2
912,375.0,2500.0,60.0,0.08,0.03125,97.0
913,375.0,2075.0,90.0,0.08,0.025100401606425703,96.5
914,375.0,750.0,90.0,0.14,0.03968253968253967,94.9
915,375.0,1550.0,60.0,0.16,0.025201612903225805,98.0
916,375.0,2075.0,60.0,0.12,0.025100401606425703,96.0
917,375.0,700.0,120.0,0.16,0.027901785714285716,95.2
918,375.0,2500.0,60.0,0.1,0.025,95.6
919,375.0,675.0,90.0,0.16,0.038580246913580245,94.7
920,375.0,675.0,120.0,0.14,0.03306878306878307,94.7
921,375.0,625.0,90.0,0.14,0.047619047619047616,92.1
922,375.0,675.0,120.0,0.1,0.046296296296296294,91.8
923,375.0,725.0,90.0,0.12,0.04789272030651341,91.7
924,375.0,550.0,90.0,0.16,0.04734848484848485,92.0
925,375.0,600.0,120.0,0.16,0.032552083333333336,91.0
926,375.0,675.0,120.0,0.12,0.038580246913580245,88.4
927,375.0,425.0,120.0,0.16,0.04595588235294118,87.9
928,375.0,475.0,120.0,0.14,0.046992481203007516,87.3
929,375.0,575.0,120.0,0.14,0.038819875776397506,86.5
930,375.0,500.0,120.0,0.16,0.0390625,86.9
931,375.0,550.0,120.0,0.12,0.04734848484848485,85.4
932,375.0,1600.0,60.0,0.1,0.0390625,98.9
933,375.0,1050.0,90.0,0.1,0.03968253968253968,98.6
934,375.0,1650.0,60.0,0.08,0.04734848484848485,98.8
935,375.0,1025.0,120.0,0.08,0.038109756097560975,98.8
936,375.0,1450.0,50.0,0.08,0.06465517241379311,99.733
937,375.0,1700.0,50.0,0.08,0.05514705882352941,99.628
938,375.0,1525.0,60.0,0.08,0.05122950819672131,99.603
939,375.0,1175.0,50.0,0.1,0.06382978723404255,99.537
940,375.0,1500.0,50.0,0.1,0.05,99.561
941,375.0,1225.0,60.0,0.08,0.06377551020408163,99.581
942,375.0,1850.0,60.0,0.08,0.04222972972972973,99.39
943,375.0,2000.0,50.0,0.08,0.046875,99.483
944,375.0,1250.0,50.0,0.12,0.05,99.486
945,375.0,2175.0,60.0,0.08,0.035919540229885055,99.072
946,375.0,2250.0,50.0,0.08,0.041666666666666664,99.313
947,375.0,1850.0,50.0,0.1,0.04054054054054054,99.363
948,375.0,2500.0,60.0,0.08,0.03125,97.55
949,375.0,1500.0,50.0,0.12,0.041666666666666664,99.232
