Build iteration,Sample build nr.,Maschine,Projekt Name,Laser P [W],Scan [mm/s],Layer thickness [Mikrom.],Hatch distance [mm],Building temperature (deg.C),sample type,support type,tensile direction,Pattern,Kontur Laser P [W],Kontur Scan [mm/s],Stripe Overlap,Contour offset,Spotsize,Streifenbreite,Streifenversch.,Drehwinkel,Abstand zur OK,Kontur Spotsize,Kontur Abstand zur OK,Heat treatment,Yield [Mpa]P pO2,UTS [Mpa]R m,Elongation (%)A,Surface roughness [Ra],OF-optisch,Porositaet Flaeche Bionic polished,Porositaet Flaeche repolished IAPT,Porositaet Kontur,Aufbaurate,VED,Relative density (Archimedis),Relative density,Pulver,Powderbatch,Powder state,Spalte1,Si,Spalte2,Fe,Spalte3,Cu,Spalte4,Mn,Spalte5,Mg,Spalte6,Be,Spalte7,Zn,Spalte8,Ti,D10,D50,D90,Carney Funnel (s/50g),Schuttdichte,Klopfdichte,Bulid finish status,trial category,Date
1,40,Aconity,Alaf parameter development,160,200,30,0.07,,Tensile bars ,,,,,,,,,,,,,,,,,344,16.6,,,,,,1.512,380.952381,,,AlMgty80,-1,,0,0,0,0.15,<,0.01,0,0,0,8.32,0,0,0,0,<,0.01,0,0,0,0,0,0,,parameter and powder check,
2,1,Aconity,Alaf parameter development,350,1435,30,0.17,,Density cube,,,,,,,,,,,67,,,,,,,,,,,2.54,,26.3466,47.82400765,,97.46,AlMgty80,-1,,0,0,0,0.15,<,0.01,0,0,0,8.32,0,0,0,0,<,0.01,0,0,0,0,0,0,,parameter and powder check,
2,2,Aconity,Alaf parameter development,370,1435,30,0.17,,Density cube,,,,,,,,,,,67,,,,,,,,,,,2.61,,26.3466,50.55680809,,97.39,AlMgty80,-1,,0,0,0,0.15,<,0.01,0,0,0,8.32,0,0,0,0,<,0.01,0,0,0,0,0,0,,parameter and powder check,
2,3,Aconity,Alaf parameter development,350,1335,30,0.17,,Density cube,,,,,,,,,,,67,,,,,,,,,,,2.51,,24.5106,51.40633032,,97.49,AlMgty80,-1,,0,0,0,0.15,<,0.01,0,0,0,8.32,0,0,0,0,<,0.01,0,0,0,0,0,0,,parameter and powder check,
2,4,Aconity,Alaf parameter development,390,1435,30,0.17,,Density cube,,,,,,,,,,,67,,,,,,,,,,,2.32,,26.3466,53.28960853,,97.68,AlMgty80,-1,,0,0,0,0.15,<,0.01,0,0,0,8.32,0,0,0,0,<,0.01,0,0,0,0,0,0,,parameter and powder check,
2,5,Aconity,Alaf parameter development,370,1335,30,0.17,,Density cube,,,,,,,,,,,67,,,,,,,,,,,2.25,,24.5106,54.34383491,,97.75,AlMgty80,-1,,0,0,0,0.15,<,0.01,0,0,0,8.32,0,0,0,0,<,0.01,0,0,0,0,0,0,,parameter and powder check,
2,6,Aconity,Alaf parameter development,350,1235,30,0.17,,Density cube,,,,,,,,,,,67,,,,,,,,,,,2.54,,22.6746,55.56878622,,97.46,AlMgty80,-1,,0,0,0,0.15,<,0.01,0,0,0,8.32,0,0,0,0,<,0.01,0,0,0,0,0,0,,parameter and powder check,
2,7,Aconity,Alaf parameter development,390,1335,30,0.17,,Density cube,,,,,,,,,,,67,,,,,,,,,,,2.15,,24.5106,57.2813395,,97.85,AlMgty80,-1,,0,0,0,0.15,<,0.01,0,0,0,8.32,0,0,0,0,<,0.01,0,0,0,0,0,0,,parameter and powder check,
2,8,Aconity,Alaf parameter development,370,1235,30,0.17,,Density cube,,,,,,,,,,,67,,,,,,,,,,,2.72,,22.6746,58.74414543,,97.28,AlMgty80,-1,,0,0,0,0.15,<,0.01,0,0,0,8.32,0,0,0,0,<,0.01,0,0,0,0,0,0,,parameter and powder check,
2,9,Aconity,Alaf parameter development,390,1235,30,0.17,,Density cube,,,,,,,,,,,67,,,,,,,,,,,1.7,,22.6746,61.91950464,,98.3,AlMgty80,-1,,0,0,0,0.15,<,0.01,0,0,0,8.32,0,0,0,0,<,0.01,0,0,0,0,0,0,,parameter and powder check,
2,10,Aconity,Alaf parameter development,350,1750,60,0.1,,Density cube,,,,,,,,,,,67,,,,,,,,,,,1.21,,37.8,33.33333333,,98.79,AlMgty80,-1,,0,0,0,0.15,<,0.01,0,0,0,8.32,0,0,0,0,<,0.01,0,0,0,0,0,0,,parameter and powder check,
2,11,Aconity,Alaf parameter development,370,1750,60,0.1,,Density cube,,,,,,,,,,,67,,,,,,,,,,,1.22,,37.8,35.23809524,,98.78,AlMgty80,-1,,0,0,0,0.15,<,0.01,0,0,0,8.32,0,0,0,0,<,0.01,0,0,0,0,0,0,,parameter and powder check,
2,12,Aconity,Alaf parameter development,350,1650,60,0.1,,Density cube,,,,,,,,,,,67,,,,,,,,,,,1.21,,35.64,35.35353535,,98.79,AlMgty80,-1,,0,0,0,0.15,<,0.01,0,0,0,8.32,0,0,0,0,<,0.01,0,0,0,0,0,0,,parameter and powder check,
2,13,Aconity,Alaf parameter development,390,1750,60,0.1,,Density cube,,,,,,,,,,,67,,,,,,,,,,,1.22,,37.8,37.14285714,,98.78,AlMgty80,-1,,0,0,0,0.15,<,0.01,0,0,0,8.32,0,0,0,0,<,0.01,0,0,0,0,0,0,,parameter and powder check,
2,14,Aconity,Alaf parameter development,370,1650,60,0.1,,Density cube,,,,,,,,,,,67,,,,,,,,,,,0.97,,35.64,37.37373737,,99.03,AlMgty80,-1,,0,0,0,0.15,<,0.01,0,0,0,8.32,0,0,0,0,<,0.01,0,0,0,0,0,0,,parameter and powder check,
2,15,Aconity,Alaf parameter development,350,1550,60,0.1,,Density cube,,,,,,,,,,,67,,,,,,,,,,,1.35,,33.48,37.6344086,,98.65,AlMgty80,-1,,0,0,0,0.15,<,0.01,0,0,0,8.32,0,0,0,0,<,0.01,0,0,0,0,0,0,,parameter and powder check,
2,16,Aconity,Alaf parameter development,390,1650,60,0.1,,Density cube,,,,,,,,,,,67,,,,,,,,,,,0.72,,35.64,39.39393939,,99.28,AlMgty80,-1,,0,0,0,0.15,<,0.01,0,0,0,8.32,0,0,0,0,<,0.01,0,0,0,0,0,0,,parameter and powder check,
2,17,Aconity,Alaf parameter development,370,1550,60,0.1,,Density cube,,,,,,,,,,,67,,,,,,,,,,,1.16,,33.48,39.78494624,,98.84,AlMgty80,-1,,0,0,0,0.15,<,0.01,0,0,0,8.32,0,0,0,0,<,0.01,0,0,0,0,0,0,,parameter and powder check,
2,18,Aconity,Alaf parameter development,390,1550,60,0.1,,Density cube,,,,,,,,,,,67,,,,,,,,,,,1.13,,33.48,41.93548387,,98.87,AlMgty80,-1,,0,0,0,0.15,<,0.01,0,0,0,8.32,0,0,0,0,<,0.01,0,0,0,0,0,0,,parameter and powder check,
3,1,Aconity,Alaf parameter development,275,1500,50,0.19,,Density cube,,,,,,,,,,,,,,,,,,,,,,6.64349,,51.3,19.29824561,,93.36,AlMgty80,-1,,0,0,0,0.15,<,0.01,0,0,0,8.32,0,0,0,0,<,0.01,0,0,0,0,0,0,,parameter and powder check,
3,2,Aconity,Alaf parameter development,275,1500,50,0.14,,Density cube,,,,,,,,,,,,,,,,,,,,,,2.47889,,37.8,26.19047619,,97.52,AlMgty80,-1,,0,0,0,0.15,<,0.01,0,0,0,8.32,0,0,0,0,<,0.01,0,0,0,0,0,0,,parameter and powder check,
3,3,Aconity,Alaf parameter development,275,1500,50,0.09,,Density cube,,,,,,,,,,,,,,,,,,,,,,0.77674,,24.3,40.74074074,,99.22,AlMgty80,-1,,0,0,0,0.15,<,0.01,0,0,0,8.32,0,0,0,0,<,0.01,0,0,0,0,0,0,,parameter and powder check,
3,4,Aconity,Alaf parameter development,300,1500,50,0.19,,Density cube,,,,,,,,,,,,,,,,,,,,,,4.97478,,51.3,21.05263158,,95.03,AlMgty80,-1,,0,0,0,0.15,<,0.01,0,0,0,8.32,0,0,0,0,<,0.01,0,0,0,0,0,0,,parameter and powder check,
3,5,Aconity,Alaf parameter development,300,1500,50,0.14,,Density cube,,,,,,,,,,,,,,,,,,,,,,1.39944,,37.8,28.57142857,,98.6,AlMgty80,-1,,0,0,0,0.15,<,0.01,0,0,0,8.32,0,0,0,0,<,0.01,0,0,0,0,0,0,,parameter and powder check,
3,6,Aconity,Alaf parameter development,300,1500,50,0.09,,Density cube,,,,,,,,,,,,,,,,,,,,,,1.90343,,24.3,44.44444444,,98.1,AlMgty80,-1,,0,0,0,0.15,<,0.01,0,0,0,8.32,0,0,0,0,<,0.01,0,0,0,0,0,0,,parameter and powder check,
