Quelle,Probennummer,Legierung,Prozessumfeld/-parameter,,,Scanstrategie,,,,,,,,,,,,,Pulvereigenschaften,,,,,,,,Bauteil QualitÑtskriterien,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Sonstiges,,
,,,Prozessparameter,,,Scanstrategie,,,,,,,,,Konturparameter,,,,Particle Size Distribution,,,,,,Pulverchemie,,Mechanische Eigenschaften,,,,,,,PorositÑt [%],,,Rauhigkeit,,,,Bauteilchemie,,,,,,,,,,,,,,Schmelzpool,,,,,
,,,Anlage,"Laserprofil [Gauss, Donut, etc.]",Laserdurchmesser [Êm],Laserleistung [W],Scan Speed [mm/s],HatchlÑnge [mm],Hatch distance [mm],Layerthickness [Êm],Pfadstrategie,LED [J/mm],ED [J/mm¸],Fokuslage [mm],Konturversatz [mm],FÅllschraffurversatz [mm],Konturscanspeed [mm/s],Konturleistung [W],Hersteller,Sonstiges,Particle size Distribution [Êm],d10 [Êm],d50 [Êm],d90 [Êm],Al [wt.%],Si [wt.%],E-Modul [MPa],Streckgrenze [MPa],Zugfestigkeit [MPa],Dehnung [%],HÑrte ,,Dichte [%],PorositÑt (Messung oben links)[%],PorositÑt (Messung unten rechts) [%],PorositÑt gesamt [%],Rautiefe 45¯ oben,Rautiefe 45¯ unten,Rautiefe 90¯,OberflÑchenrauhigkeit [Êm],Al [wt.%],Si [wt.%],Ni [wt.%],Fe [wt.%],Cu [wt.%],Mn [wt.%],Mg [wt.%],Ti [wt.%],Zn [wt.%],C [wt.%],Zr [wt.%],Mo [wt.%],Sn [wt.%],O [wt.%],x [Êm],y [Êm],z [Êm],Schutzgas,Heat treatment,Kommentare
1,40,AlSi10Mg,AconityLAB,Gauss defocused,140,700,1000,1.3,0.15,50,Unidirectional,0.7,93.33333333,,,,,,,,,,,,,,,,,,,,99.3,,,,,,,,,,,,,,,,,,,,,,,,,,,Preheating 200 grad Celsius
1,41,AlSi10Mg,AconityLAB,Gauss defocused,140,700,1500,1.3,0.15,50,Unidirectional,0.466666667,62.22222222,,,,,,,,,,,,,,,,,,,,99.8,,,,,,,,,,,,,,,,,,,,,,,,,,,Preheating 200 grad Celsius
1,42,AlSi10Mg,AconityLAB,Gauss defocused,140,700,2000,1.3,0.15,50,Unidirectional,0.35,46.66666667,,,,,,,,,,,,,,,,,,,,99.9,,,,,,,,,,,,,,,,,,,,,,,,,,,Preheating 200 grad Celsius
1,43,AlSi10Mg,AconityLAB,Gauss defocused,140,800,1000,1.3,0.15,50,Unidirectional,0.8,106.6666667,,,,,,,,,,,,,,,,,,,,98.9,,,,,,,,,,,,,,,,,,,,,,,,,,,Preheating 200 grad Celsius
1,44,AlSi10Mg,AconityLAB,Gauss defocused,140,800,1500,1.3,0.15,50,Unidirectional,0.533333333,71.11111111,,,,,,,,,,,,,,,,,,,,99.8,,,,,,,,,,,,,,,,,,,,,,,,,,,Preheating 200 grad Celsius
1,45,AlSi10Mg,AconityLAB,Gauss defocused,140,800,2000,1.3,0.15,50,Unidirectional,0.4,53.33333333,,,,,,,,,,,,,,,,,,,,99.9,,,,,,,,,,,,,,,,,,,,,,,,,,,Preheating 200 grad Celsius
1,46,AlSi10Mg,AconityLAB,Gauss defocused,140,600,1000,1.3,0.2,50,Unidirectional,0.6,60,,,,,,,,,,,,,,,,,,,,99.8,,,,,,,,,,,,,,,,,,,,,,,,,,,Preheating 200 grad Celsius
1,47,AlSi10Mg,AconityLAB,Gauss defocused,140,600,1500,1.3,0.2,50,Unidirectional,0.4,40,,,,,,,,,,,,,,,,,,,,99.9,,,,,,,,,,,,,,,,,,,,,,,,,,,Preheating 200 grad Celsius
1,48,AlSi10Mg,AconityLAB,Gauss defocused,140,600,2000,1.3,0.2,50,Unidirectional,0.3,30,,,,,,,,,,,,,,,,,,,,99.5,,,,,,,,,,,,,,,,,,,,,,,,,,,Preheating 200 grad Celsius
1,49,AlSi10Mg,AconityLAB,Gauss defocused,140,700,1000,1.3,0.2,50,Unidirectional,0.7,70,,,,,,,,,,,,,,,,,,,,99.6,,,,,,,,,,,,,,,,,,,,,,,,,,,Preheating 200 grad Celsius
1,50,AlSi10Mg,AconityLAB,Gauss defocused,140,700,1500,1.3,0.2,50,Unidirectional,0.466666667,46.66666667,,,,,,,,,,,,,,,,,,,,99.8,,,,,,,,,,,,,,,,,,,,,,,,,,,Preheating 200 grad Celsius
1,51,AlSi10Mg,AconityLAB,Gauss defocused,140,700,2000,1.3,0.2,50,Unidirectional,0.35,35,,,,,,,,,,,,,,,,,,,,99.9,,,,,,,,,,,,,,,,,,,,,,,,,,,Preheating 200 grad Celsius
1,52,AlSi10Mg,AconityLAB,Gauss defocused,140,800,1000,1.3,0.2,50,Unidirectional,0.8,80,,,,,,,,,,,,,,,,,,,,99.4,,,,,,,,,,,,,,,,,,,,,,,,,,,Preheating 200 grad Celsius
1,53,AlSi10Mg,AconityLAB,Gauss defocused,140,800,1500,1.3,0.2,50,Unidirectional,0.533333333,53.33333333,,,,,,,,,,,,,,,,,,,,99.8,,,,,,,,,,,,,,,,,,,,,,,,,,,Preheating 200 grad Celsius
1,54,AlSi10Mg,AconityLAB,Gauss defocused,140,800,2000,1.3,0.2,50,Unidirectional,0.4,40,,,,,,,,,,,,,,,,,,,,99.9,,,,,,,,,,,,,,,,,,,,,,,,,,,Preheating 200 grad Celsius
1,1,AlSi10Mg,AconityLAB,M shaped Profile,140,300,1000,1.3,0.1,50,Unidirectional,0.3,60,,,,,,,,,,,,,,,,,,,,97.9,,,,,,,,,,,,,,,,,,,,,,,,,,,Preheating 200 grad Celsius
1,2,AlSi10Mg,AconityLAB,M shaped Profile,140,300,1500,1.3,0.1,50,Unidirectional,0.2,40,,,,,,,,,,,,,,,,,,,,98.6,,,,,,,,,,,,,,,,,,,,,,,,,,,Preheating 200 grad Celsius
